time,users,queue
549.8874574207691,4.0,48.0
550.2189829232364,4.0,49.0
552.4336893830693,4.0,50.0
552.7560353609786,4.0,51.0
555.2695806333745,3.0,51.0
555.2695806333745,4.0,50.0
556.7177262538763,4.0,51.0
556.8740654089926,3.0,51.0
556.8740654089926,4.0,50.0
557.0199894885242,3.0,50.0
557.0199894885242,4.0,49.0
557.2813281541388,4.0,50.0
559.9757465758565,4.0,51.0
561.3013833804614,3.0,51.0
561.3013833804614,4.0,50.0
562.2110850984197,4.0,51.0
566.0409920648934,4.0,52.0
569.374020231678,4.0,53.0
571.2240358692948,3.0,53.0
571.2240358692948,4.0,52.0
574.2598275415445,4.0,53.0
575.9915103486954,4.0,54.0
577.1500169219823,3.0,54.0
577.1500169219823,4.0,53.0
577.426674990211,4.0,54.0
580.2642667724251,4.0,55.0
580.8416030779728,4.0,56.0
582.2447365926416,3.0,56.0
582.2447365926416,4.0,55.0
584.0415156021107,3.0,55.0
584.0415156021107,4.0,54.0
584.6751336423588,4.0,55.0
585.3621420897963,3.0,55.0
585.3621420897963,4.0,54.0
585.8480696039852,4.0,55.0
590.1453346837121,4.0,56.0
590.668008751962,4.0,57.0
591.1895988341375,3.0,57.0
591.1895988341375,4.0,56.0
592.6336158521124,4.0,57.0
592.73572080449,3.0,57.0
592.73572080449,4.0,56.0
596.381851405736,4.0,57.0
600.0111450539308,4.0,58.0
600.3147593644344,3.0,58.0
600.3147593644344,4.0,57.0
604.262251726937,4.0,58.0
604.6544369282972,3.0,58.0
604.6544369282972,4.0,57.0
604.713788542972,3.0,57.0
604.713788542972,4.0,56.0
604.9377097178142,4.0,57.0
604.9927103955953,3.0,57.0
604.9927103955953,4.0,56.0
608.5478668388863,3.0,56.0
608.5478668388863,4.0,55.0
609.0231670228633,3.0,55.0
609.0231670228633,4.0,54.0
610.6721232232348,3.0,54.0
610.6721232232348,4.0,53.0
612.1800622120925,4.0,54.0
612.6648099307141,3.0,54.0
612.6648099307141,4.0,53.0
613.5928702786845,4.0,54.0
614.7966437891913,4.0,55.0
620.7176111736846,4.0,56.0
621.7914658978192,3.0,56.0
621.7914658978192,4.0,55.0
624.1861228847902,3.0,55.0
624.1861228847902,4.0,54.0
626.788653016693,4.0,55.0
627.062888228906,4.0,56.0
629.3205176172903,4.0,57.0
629.5842405218793,3.0,57.0
629.5842405218793,4.0,56.0
631.4109591652876,4.0,57.0
632.8297595766185,3.0,57.0
632.8297595766185,4.0,56.0
633.6046931394031,4.0,57.0
635.8060655205263,4.0,58.0
637.5307049022476,3.0,58.0
637.5307049022476,4.0,57.0
638.0950652213708,3.0,57.0
638.0950652213708,4.0,56.0
638.4923788570021,4.0,57.0
639.5768950497486,4.0,58.0
641.2621749036338,4.0,59.0
644.3191330663241,3.0,59.0
644.3191330663241,4.0,58.0
644.9818836788443,4.0,59.0
645.4048185756479,3.0,59.0
645.4048185756479,4.0,58.0
646.4409518876397,4.0,59.0
648.1715590874034,4.0,60.0
650.3495189898907,4.0,61.0
650.6462222344938,4.0,62.0
654.0202678377858,3.0,62.0
654.0202678377858,4.0,61.0
655.2066337561522,4.0,62.0
656.7575078877222,4.0,63.0
660.0494570893454,3.0,63.0
660.0494570893454,4.0,62.0
660.7984295483063,4.0,63.0
662.0977240425294,3.0,63.0
662.0977240425294,4.0,62.0
663.8892490372623,3.0,62.0
663.8892490372623,4.0,61.0
667.0441537987662,4.0,62.0
669.0725786698471,4.0,63.0
669.8015391243222,3.0,63.0
669.8015391243222,4.0,62.0
671.4363880843566,4.0,63.0
673.674662084946,4.0,64.0
675.6104061803716,4.0,65.0
675.8096062666401,3.0,65.0
675.8096062666401,4.0,64.0
677.0268178860022,3.0,64.0
677.0268178860022,4.0,63.0
677.2696203317644,3.0,63.0
677.2696203317644,4.0,62.0
678.7669161422248,4.0,63.0
679.1494615786185,3.0,63.0
679.1494615786185,4.0,62.0
680.9599527798067,3.0,62.0
680.9599527798067,4.0,61.0
683.7940034780265,4.0,62.0
683.936860683713,3.0,62.0
683.936860683713,4.0,61.0
685.2869246777021,4.0,62.0
686.6839384846724,3.0,62.0
686.6839384846724,4.0,61.0
689.2962973650195,3.0,61.0
689.2962973650195,4.0,60.0
693.5216263845441,4.0,61.0
693.7670717950966,4.0,62.0
696.3618667270852,3.0,62.0
696.3618667270852,4.0,61.0
698.3595909303813,4.0,62.0
699.2572477497416,4.0,63.0
699.2984225628919,3.0,63.0
699.2984225628919,4.0,62.0
704.2818752907525,4.0,63.0
706.5114839419882,3.0,63.0
706.5114839419882,4.0,62.0
706.7871351250715,4.0,63.0
709.9747426010211,4.0,64.0
710.7776975577209,4.0,65.0
711.8253767635073,3.0,65.0
711.8253767635073,4.0,64.0
712.1920044223544,3.0,64.0
712.1920044223544,4.0,63.0
712.9900467299456,4.0,64.0
715.1458649002459,4.0,65.0
715.9223823206214,4.0,66.0
718.7832040465795,4.0,67.0
719.067295008699,4.0,68.0
720.1503061744191,3.0,68.0
720.1503061744191,4.0,67.0
721.2844854620624,3.0,67.0
721.2844854620624,4.0,66.0
726.6978766958568,4.0,67.0
728.4911569769048,4.0,68.0
731.0685964046631,4.0,69.0
732.1290026695019,3.0,69.0
732.1290026695019,4.0,68.0
733.1348939187924,4.0,69.0
733.7366281586646,4.0,70.0
735.6839292403565,4.0,71.0
735.7294946470219,3.0,71.0
735.7294946470219,4.0,70.0
736.4993489275206,3.0,70.0
736.4993489275206,4.0,69.0
736.5967922360281,3.0,69.0
736.5967922360281,4.0,68.0
738.5574042780761,3.0,68.0
738.5574042780761,4.0,67.0
740.6920906918303,4.0,68.0
742.9327410174534,3.0,68.0
742.9327410174534,4.0,67.0
743.8496049890326,4.0,68.0
744.1680396246626,3.0,68.0
744.1680396246626,4.0,67.0
746.2343332959664,4.0,68.0
747.434157678834,3.0,68.0
747.434157678834,4.0,67.0
749.3064763995072,4.0,68.0
749.7041071741456,4.0,69.0
751.0823997135897,3.0,69.0
