name,come,wait,begin,finish,t_relax_time
doc175,497.4914079879607,0.8395399362894977,498.3309479242502,500.82103106344215,79.50381982628234
doc176,500.71938105259653,0.10165001084561709,500.82103106344215,503.57274968582857,77.20020418978987
doc177,505.2551357195274,0.0,505.2551357195274,507.3911817081373,77.10123359367829
doc178,506.36546192528965,0.0,506.36546192528965,512.6097677377043,83.04274314180705
doc179,512.5557241326326,0.0,512.5557241326326,518.8949679460959,76.23864630304091
doc180,520.3357003374408,0.0,520.3357003374408,525.2001101304237,85.27803952751972
doc181,524.8750174953534,0.0,524.8750174953534,530.3065979977279,82.90848818937769
doc182,529.0975451381408,0.0,529.0975451381408,533.4922155176187,78.17583770712126
doc183,538.6809237376377,0.0,538.6809237376377,542.7484554494321,81.33787221879254
doc184,539.016094826562,0.0,539.016094826562,542.1992580397539,79.91248997820479
doc185,542.1681384048538,0.031119634900051096,542.1992580397539,544.3314907794705,80.62678684561645
doc186,544.6165954376014,0.0,544.6165954376014,546.7398232077383,82.19193697495406
doc187,544.7345162378817,0.0,544.7345162378817,546.7893582989041,80.04008909526259
doc188,545.0024096379386,1.737413569799628,546.7398232077383,550.2189829232364,78.83065351256376
doc189,545.0942041149747,1.6951541839293895,546.7893582989041,552.7560353609786,80.61849585121476
doc190,545.4225896007304,14.553156975126171,559.9757465758565,562.2110850984197,88.63058613270893
doc191,547.6379789573801,2.581003965856212,550.2189829232364,552.4336893830693,75.37244543678774
doc192,548.7422685868538,4.013766774124747,552.7560353609786,556.7177262538763,80.41066645189503
doc193,549.1257711095366,3.3079182735327777,552.4336893830693,557.2813281541388,77.55749493205572
doc194,551.838758030651,5.442570123487826,557.2813281541388,575.9915103486954,80.97648794929478
doc195,553.1012697703469,3.6164564835294186,556.7177262538763,559.9757465758565,78.8643698829742
doc196,563.0785142766802,0.0,563.0785142766802,566.0409920648934,92.47508811938698
doc197,564.5093074076786,1.5316846572147824,566.0409920648934,569.374020231678,81.71384168498437
doc198,570.1564024549664,0.0,570.1564024549664,574.2598275415445,80.62383830357345
doc199,574.4815556538675,0.0,574.4815556538675,577.426674990211,76.37817964366434
doc200,576.2177527216213,0.0,576.2177527216213,580.2642667724251,66.91400013518019
doc201,576.6522277494513,0.7744472407597414,577.426674990211,580.8416030779728,79.05176751988695
doc202,578.0117398053942,2.252526967030917,580.2642667724251,585.8480696039852,78.61767396148961
doc203,582.1624790049016,0.0,582.1624790049016,584.6751336423588,75.04831737026812
doc204,582.7981747729651,1.8769588693936612,584.6751336423588,590.1453346837121,73.48781492935319
doc205,585.5086035759527,0.3394660280324615,585.8480696039852,590.668008751962,80.09096443319841
doc206,588.4867004492075,1.658634234504575,590.1453346837121,592.6336158521124,75.65376369359714
doc207,592.1746153413005,0.0,592.1746153413005,600.0111450539308,79.50112239285446
doc208,592.8780075411051,0.0,592.8780075411051,596.381851405736,81.28047046254169
doc209,599.2626752118094,0.0,599.2626752118094,604.9377097178142,82.29002309757206
doc210,600.8279670195769,0.0,600.8279670195769,604.262251726937,75.660231772909
doc211,603.2705070014769,11.52613678771445,614.7966437891913,627.062888228906,79.54042039477928
doc212,603.4617062127393,0.8005455141977791,604.262251726937,613.5928702786845,67.89928758794964
doc213,603.6642473671956,9.928622911488901,613.5928702786845,620.7176111736846,78.70906535087587
doc214,604.8922103211322,0.04549939668197567,604.9377097178142,612.1800622120925,75.92691427249873
doc215,605.218302554032,6.961759658060487,612.1800622120925,614.7966437891913,77.60008210336092
doc216,609.9210862314463,10.796524942238307,620.7176111736846,626.788653016693,80.53750904435
doc217,611.864582780362,19.54637638492568,631.4109591652876,639.5768950497486,81.73634243080345
doc218,620.2589404274186,9.061577189871741,629.3205176172903,633.6046931394031,80.788438940716
doc219,622.4073828466059,17.169512203142745,639.5768950497486,644.9818836788443,86.21964570128817
doc220,624.8944692378868,1.894183778806223,626.788653016693,629.3205176172903,75.99247625536495
doc221,626.5619485010084,0.5009397278976166,627.062888228906,631.4109591652876,80.48736217841794
doc222,628.2216660251943,7.584399495332036,635.8060655205263,638.4923788570021,82.24822265975202
doc223,631.5621753004891,2.042517838914023,633.6046931394031,635.8060655205263,78.28883182631053
doc224,633.4747874569372,7.7873874466965844,641.2621749036338,646.4409518876397,88.34072251120969
doc225,637.0258386518958,1.4665402051062983,638.4923788570021,641.2621749036338,77.22443547531022
doc226,644.5383947746975,0.44348890414676134,644.9818836788443,648.1715590874034,76.57387374582558
doc227,647.5695662629967,0.0,647.5695662629967,650.3495189898907,84.32099949086448
doc228,647.713265688816,0.45829339858732965,648.1715590874034,650.6462222344938,79.92791902329516
doc229,650.9843241844686,0.0,650.9843241844686,656.7575078877222,82.81226108038867
doc230,651.2685099430403,0.0,651.2685099430403,655.2066337561522,73.14617753022655
doc231,657.7071846853574,0.0,657.7071846853574,660.7984295483063,78.56172108981698
doc232,658.2433334906776,0.0,658.2433334906776,671.4363880843566,74.24079949124459
doc233,663.4833346182778,0.0,663.4833346182778,667.0441537987662,88.16520379045414
